"Id","SalePrice"
1461,126372.436320128
1462,162205.007411451
1463,182781.356830049
1464,192730.785475832
1465,181695.823430198
1466,169955.190381677
1467,179853.845376065
1468,163126.607737064
1469,193024.484016099
1470,122184.607864002
1471,209796.816896106
1472,93710.3816733955
1473,93620.1804925353
1474,145771.607427609
1475,113414.810640757
1476,364247.887272813
1477,240763.986776691
1478,299052.544872528
1479,299038.138202172
1480,487452.142082837
1481,302613.406455473
1482,203849.164471794
1483,184918.841819082
1484,160036.32290304
1485,180272.762173242
1486,198218.253805293
1487,315789.801556238
1488,242893.711633396
1489,190228.351563419
1490,245181.368023154
1491,196982.370370104
1492,91615.3833767533
1493,189873.9182931
1494,285558.69816942
1495,281342.538126445
1496,246662.523709496
1497,188055.528192095
1498,157580.817354717
1499,161909.27694047
1500,155307.453545833
1501,185517.579825652
1502,152296.285917402
1503,288579.452293401
1504,238422.848243841
1505,223826.707372135
1506,189525.007495774
1507,251976.447138976
1508,197899.05188612
1509,160562.014512694
1510,143886.902052166
1511,148782.275911306
1512,171439.90847933
1513,150140.233177708
1514,157866.944511331
1515,219896.423156625
1516,160544.304025539
1517,173860.981694863
1518,118063.30956224
1519,228728.941714882
1520,129337.771984087
1521,133414.431045255
1522,174809.71410778
1523,111239.726054704
1524,128773.897199189
1525,125041.702678986
1526,119210.562747322
1527,96174.5223207776
1528,145094.497610284
1529,145180.779039555
1530,185287.112941334
1531,129034.183716731
1532,107014.324573979
1533,151835.593546441
1534,125887.892535694
1535,163629.421709483
1536,110406.613449287
1537,55418.452497443
1538,158807.149830981
1539,219713.041827412
1540,102610.61802972
1541,155969.506210784
1542,140577.527933197
1543,192733.369278252
1544,84582.9540383186
1545,116021.749225605
1546,134946.931343936
1547,140318.415997726
1548,133803.529732323
1549,106515.2702377
1550,124198.564096177
1551,119328.712901418
1552,144117.530178209
1553,128560.149782973
1554,127108.35562811
1555,169010.008689738
1556,96306.783331453
1557,98930.879753494
1558,102064.751225734
1559,73412.7078161735
1560,129652.722980828
1561,136823.710164301
1562,125998.259330034
1563,117052.152722965
1564,168641.851045071
1565,142372.559961223
1566,252998.431865861
1567,75271.1126826137
1568,232348.993195834
1569,129307.619411665
1570,136652.54954513
1571,120949.842470494
1572,147634.062766186
1573,259414.699928224
1574,117439.428085545
1575,234258.448829703
1576,256413.856550879
1577,181269.934405681
1578,150996.075120357
1579,150910.360403118
1580,192490.783752059
1581,150737.391506472
1582,125345.222671968
1583,311542.380232425
1584,220215.164222717
1585,140651.143772885
1586,77689.4156125306
1587,110252.830030656
1588,147277.650240878
1589,106942.211923826
1590,141584.583896041
1591,95755.2894948237
1592,124074.432844258
1593,125637.167208541
1594,147578.805224246
1595,100643.505970571
1596,212587.325312643
1597,172142.53983869
1598,207125.879251682
1599,182133.717015587
1600,171736.993514727
1601,70474.8674320444
1602,107101.561299656
1603,82790.8992350476
1604,267966.825579883
1605,255736.166098563
1606,175357.444757513
1607,163349.213874406
1608,210833.342292042
1609,180890.171969905
1610,151808.253752066
1611,142122.649196942
1612,182678.05265908
1613,166358.741090658
1614,125073.792506511
1615,93405.4118152471
1616,77486.9220944791
1617,95443.1534204892
1618,123173.481327346
1619,148091.130494039
1620,162472.674541066
1621,145473.120829698
1622,129380.50895526
1623,269431.252481223
1624,223400.32891207
1625,118433.612068797
1626,166718.388400295
1627,188731.782423517
1628,280367.86564586
1629,173034.467007852
1630,357447.858162927
1631,200231.571207524
1632,235239.503635275
1633,160730.426507927
1634,186052.952749888
1635,173647.410348762
1636,155569.293969204
1637,196598.133590425
1638,206312.642684595
1639,184120.407673304
1640,264680.684437471
1641,181335.301631569
1642,244662.21265693
1643,230517.611467628
1644,227244.574132542
1645,201184.52689034
1646,158470.16926133
1647,158555.485886843
1648,131402.309327616
1649,138807.178118117
1650,120598.319614574
1651,123770.904901926
1652,97556.1187843042
1653,104326.482928791
1654,142328.107288527
1655,143335.210432697
1656,138975.662872744
1657,143442.767319814
1658,140291.915516833
1659,119753.36661388
1660,150444.018703876
1661,461356.891083536
1662,379412.498112746
1663,379838.926707869
1664,499959.003502365
1665,313537.284268803
1666,320864.170543952
1667,362592.525393015
1668,351020.664288421
1669,304892.448729202
1670,357407.666407515
1671,262184.544881603
1672,435859.851484798
1673,292558.389395431
1674,244623.677445766
1675,195445.621035963
1676,201738.912272409
1677,217324.91965125
1678,496130.144637724
1679,376407.709467518
1680,336902.963615937
1681,261473.449896458
1682,296375.678339897
1683,185766.739843829
1684,180625.340938721
1685,170942.822281925
1686,170119.097015802
1687,165370.785243288
1688,195726.801658242
1689,191111.300649087
1690,197027.776097531
1691,179069.347591399
1692,272068.064388592
1693,166597.655198802
1694,176570.236507804
1695,160762.04513067
1696,282746.899817537
1697,163342.808666479
1698,334526.542275877
1699,303318.684565149
1700,243745.275040133
1701,268777.298354086
1702,252091.228127462
1703,249667.71936115
1704,280584.700271697
1705,228380.091851311
1706,447437.595290789
1707,216694.474699198
1708,201662.439375122
1709,263376.024078676
1710,221491.678550117
1711,278359.267874359
1712,253552.185395179
1713,285947.548634241
1714,226355.700766712
1715,211370.661257979
1716,182157.943191827
1717,166099.791620568
1718,133726.656801451
1719,204235.006974193
1720,242166.944513547
1721,171581.205954304
1722,132679.651305671
1723,170504.369334117
1724,211564.212825233
1725,232947.234647339
1726,182153.773037192
1727,162920.975933082
1728,181883.414957174
1729,169816.594026429
1730,161803.258378664
1731,126885.933340228
1732,123898.626667501
1733,116689.860703443
1734,120126.217822286
1735,132381.980706957
1736,120514.797122655
1737,321257.696503981
1738,231733.534981278
1739,300954.376459597
1740,224544.24121916
1741,202252.46337995
1742,174693.732231818
1743,178346.598673935
1744,298892.816833467
1745,204596.196945976
1746,220724.132823313
1747,213207.897124094
1748,232899.685146145
1749,148414.097071931
1750,142300.145086427
1751,247367.955683121
1752,119588.480563475
1753,148868.504689979
1754,199973.165630557
1755,169868.711823588
1756,130116.392034083
1757,119260.161297439
1758,143691.63259237
1759,172133.604581993
1760,163174.134810153
1761,159585.592214234
1762,174587.453896074
1763,167553.408044837
1764,121840.705048677
1765,179535.939272895
1766,179101.645007468
1767,232932.78472377
1768,139504.764564951
1769,179723.956606334
1770,148564.509798953
1771,125105.401187189
